ANTIBODY,HUGO,MAIN,MCF7,BT549,BT20,UACC812
14-3-3-beta,YWHAB,0,0,1,1,1
14-3-3-epsilon,YWHAE,0,1,1,1,1
14-3-3-zeta,YWHAZ,0,0,1,1,1
4EBP1,EIF4EBP1,0,1,1,1,1
4EBP1_pS65,EIF4EBP1_pS65,1,1,1,1,1
4EBP1_pT37_pT46,EIF4EBP1_pT37_pT46,1,0,1,1,1
53BP1,TP53BP1,0,1,1,1,1
ACC_pS79,ACACA.ACACB_pS79,1,1,1,1,1
ACC1,ACACA.ACACB,0,1,1,1,1
ACVRL1,ACVRL1,0,0,1,1,1
AIB1,NCOA3,0,1,0,1,0
AKT,AKT1.AKT2.AKT3,0,1,1,1,1
AKT_pS473,AKT1.AKT2.AKT3_pS473,1,1,1,1,1
AKT_pT308,AKT1.AKT2.AKT3_pT308,1,1,1,1,1
alpha-catenin,CTNNA1,0,1,1,1,1
AMPK_pT172,PRKAA1.PRKAA2_pT172,1,1,1,1,1
AMPK-alpha,PRKAA1.PRKAA2,0,1,1,1,1
Annexin-I,ANXA1,0,1,1,1,1
Annexin-VII,ANXA7,0,0,1,1,1
AR,AR,0,1,1,1,1
B-Raf,BRAF,0,0,1,1,1
BAD_pS112,BAD_pS112,1,1,1,1,1
BAK,BAK1,0,1,1,1,1
BAX,BAX,0,1,1,1,1
BCL-2,BCL2,0,1,1,1,1
Bcl-X,BCL2L1,0,1,0,1,0
Bcl-xL,BCL2L1,0,1,1,1,1
Beclin,BECN1,0,1,1,1,1
beta-catenin,CTNNB1,0,1,1,1,1
BID,BID,0,1,1,1,1
BIM,BCL2L11,0,1,1,1,1
c-JUN_pS73,JUN_pS73,1,1,0,1,0
c-KIT,KIT,0,1,1,1,1
c-Met,MET,0,1,0,1,0
c-Met_pY1235,MET_pY1235,1,1,1,1,1
c-Myc,MYC,0,1,1,1,1
c-Raf,RAF1,0,1,1,1,1
c-Raf_pS338,RAF1_pS338,1,1,1,1,1
Caspase-3_active,CASP3,0,1,0,1,0
Caspase-7_cleavedD198,CASP7,0,1,1,1,1
Caspase-9_cleavedD330,CASP9,0,1,1,1,1
Caveolin-1,CAV1,0,1,1,1,1
CD31,PECAM1,0,1,1,1,1
CD49B,ITGA2,0,0,1,1,1
CDK1,CDK1,0,1,1,1,1
CHK1,CHEK1,0,1,1,1,1
CHK1_pS345,CHEK1_pS345,1,1,1,1,1
CHK2,CHEK2,0,1,1,1,1
CHK2_pT68,CHEK2_pT68,1,1,1,1,1
cIAP,BIRC2,0,1,1,1,1
Claudin-7,CLDN7,0,1,1,1,1
Collagen-VI,COL6A1,0,1,1,1,1
COX-2,PTGS2,0,1,0,1,0
Cyclin-B1,CCNB1,0,1,1,1,1
Cyclin-D1,CCND1,0,1,1,1,1
Cyclin-E1,CCNE1,0,1,1,1,1
DJ-1,PARK7,0,1,1,1,1
Dvl3,DVL3,0,1,1,1,1
E-Cadherin,CDH1,0,1,1,1,1
eEF2,EEF2,0,1,1,1,1
eEF2K,EEF2K,0,1,1,1,1
EGFR,EGFR,0,1,1,1,1
EGFR_pY1068,EGFR_pY1068,1,1,1,1,1
EGFR_pY1173,EGFR_pY1173,1,1,1,1,1
EGFR_pY992,EGFR_pY992,1,1,0,1,0
eIF4E,EIF4E,0,1,1,1,1
eIF4G,EIF4G1,0,0,1,1,1
ER-alpha,ESR1,0,1,1,1,1
ER-alpha_pS118,ESR1_pS118,1,1,1,1,1
ERCC1,ERCC1,0,1,0,1,0
FAK,PTK2,0,1,0,1,0
Fibronectin,FN1,0,1,1,1,1
FoxM1,FOXM1,0,0,1,1,1
FOXO3a,FOXO3,0,1,1,1,1
FOXO3a_pS318_S321,FOXO3_pS318_pS321,1,1,0,1,0
Gab2,GAB2,0,0,1,1,1
GATA3,GATA3,0,1,1,1,1
GSK3-alpha-beta_pS9,GSK3A.GSK3B_pS9,1,1,1,1,1
GSK3-alpha-beta,GSK3A.GSK3B,0,1,1,1,1
GSK3-alpha-beta_pS21_S9,GSK3A.GSK3B_pS9_pS21,1,1,1,1,1
HER2,ERBB2,0,1,1,1,1
HER2_pY1248,ERBB2_pY1248,1,1,1,1,1
HER3,ERBB3,0,1,1,1,1
HER3_pY1298,ERBB3_pY1298,1,0,1,1,1
IFG-1R-beta,IGF1R,0,1,0,1,0
IGFBP2,IGFBP2,0,1,1,1,1
INPP4B,INPP4B,0,1,1,1,1
IRS1,IRS1,0,1,1,1,1
JNK_pT183_pT185,MAPK8_pT183_pT185,1,1,1,1,1
JNK2,MAPK9,0,1,1,1,1
k-Ras,KRAS,0,1,1,1,1
Lck,LCK,0,0,1,1,1
MAPK_pT202_Y204,MAPK1.MAPK3_pT202_Y204,1,1,1,1,1
MEK1,MAP2K1,0,1,1,1,1
MEK1_pS217_S221,MAP2K1_pS217_S221,1,1,1,1,1
MGMT,MGMT,0,0,1,1,1
MIG-6,ERRFI1,0,1,1,1,1
Mre11,MRE11A,0,1,0,1,0
MSH2,MSH2,0,1,1,1,1
MSH6,MSH6,0,1,1,1,1
mTOR,MTOR,0,1,1,1,1
mTOR_pS2448,MTOR_pS2448,1,1,1,1,1
MYH11,MYH11,0,0,1,1,1
N-Cadherin,CDH2,0,1,1,1,1
N-Ras,NRAS,0,0,1,1,1
NDRG1_pT346,NDRG1_pT346,1,0,1,1,1
NF-kB-p65_pS536,RELA_p65_pS536,1,1,1,1,1
NF2,NF2,0,1,1,1,1
Notch1,NOTCH1,0,1,1,1,1
Notch3,NOTCH3,0,1,1,1,1
P-Cadherin,CDH3,0,1,0,1,0
p21,CDKN1A,0,1,0,1,0
p27,CDKN1B,0,1,1,1,1
p27_pT157,CDKN1B_pT157,1,1,1,1,1
p27_pT198,CDKN1B_pT198,1,1,1,1,1
p38_MAPK,MAPK14,0,1,1,1,1
p38_pT180_Y182,MAPK14_pT180_Y182,1,1,1,1,1
p53,TP53,0,1,1,1,1
p70S6K,RPS6KB1,0,1,1,1,1
p70S6K_pT389,RPS6KB1_pT389,1,1,1,1,1
p90RSK_pT359_S363,RPS6KA1_pT359_S363,1,1,1,1,1
PARP_cleaved,PARP1,0,1,0,1,0
Paxillin,PXN,0,1,1,1,1
PCNA,PCNA,0,1,1,1,1
PDCD4,PDCD4,0,0,1,1,1
PDK1,PDK1,0,0,1,1,1
PDK1_pS241,PDK1_pS241,1,1,1,1,1
PEA15,PEA15,0,0,1,1,1
PEA15_pS116,PEA15_pS116,1,0,1,1,1
PI3K_p110-alpha,PIK3CA,0,1,1,1,1
PI3K_p85,PIK3R1,0,1,1,1,1
PKC-alpha,PRKCA,0,1,1,1,1
PKC-alpha_pS657,PRKCA_pS657,1,1,1,1,1
PKC-delta,PRKCD,1,0,1,1,1
PKC-pan-betaII_pS660,PRKCA.PRKCB.PRKCD.PRKCE.PRKCH.PRKCQ_pS660,1,0,1,1,1
PR,PGR,0,1,1,1,1
PRAS40_pT246,AKT1S1_pT246,1,1,1,1,1
PTCH,PTCH1,0,1,0,1,0
PTEN,PTEN,0,1,1,1,1
Rab11,RAB11A.RAB11B,0,1,1,1,1
Rab25,RAB25,0,1,0,1,0
Rad50,RAD50,0,1,1,1,1
Rad51,RAD51,0,1,1,1,1
Raptor,RPTOR,0,0,1,1,1
Rb,RB1,0,1,0,1,0
Rb_pS807_S811,RB1_pS807_S811,1,1,1,1,1
RBM15,RBM15,0,0,1,1,1
Rictor,RICTOR,0,0,1,1,1
Rictor_pT1135,RICTOR_pT1135,1,0,1,1,1
S6_pS235_S236,RPS6_pS235_S236,1,1,1,1,1
S6_pS240_S244,RPS6_pS240_S244,1,1,1,1,1
SCD1,SCD,0,0,1,1,1
SF2,SRSF1,0,0,1,1,1
Smac,DIABLO,0,1,0,1,0
Smad1,SMAD1,0,1,1,1,1
Smad3,SMAD3,0,1,1,1,1
Smad4,SMAD4,0,1,1,1,1
Snail,SNAI1,0,1,0,1,0
Src,SRC,0,1,1,1,1
Src_pY416,SRC_pY416,1,1,1,1,1
Src_pY527,SRC_pY527,1,1,1,1,1
STAT3_pY705,STAT3_pY705,1,1,1,1,1
STAT5-alpha,STAT5A,0,1,1,1,1
Stathmin,STMN1,0,1,1,1,1
Syk,SYK,0,1,1,1,1
Tau,MAPT,0,1,0,1,0
TAZ,WWTR1,0,0,1,1,1
TAZ_pS89,WWTR1_pS89,1,1,1,1,1
TFRC,TFRC,0,0,1,1,1
TIGAR,C12orf5,0,1,1,1,1
Transglutaminase II,TGM2,0,0,1,1,1
TSC1,TSC1,0,0,1,1,1
TTF1,TTF1,0,1,1,1,1
Tuberin,TSC2,0,1,1,1,1
VASP,VASP,0,1,0,1,0
VEGFR2,KDR,0,1,1,1,1
VHL,VHL,0,0,1,1,1
XIAP,XIAP,0,1,0,1,0
XRCC1,XRCC1,0,1,1,1,1
YAP,YAP1,0,1,1,1,1
YAP_pS127,YAP1_pS127,1,1,1,1,1
YB-1,YBX1,0,1,1,1,1
YB-1_PS102,YBX1_PS102,1,1,1,1,1
